Domain,Topic,Rationale,Evidence Statement #1,Evidence Statement #2,Evidence Statement #3,Question,Option A,Option B,Option C,Option D,Option E,Answer
01-Contract Formation,TP.2: Legal Test for Consideration,"The original promise of mentorship is not enforceable as a contract based on consideration because there was no bargained-for exchange. Dr. Lukas's offer was made without any expectation of payment or return service, meaning there was no legal detriment to the promisor or legal benefit received in exchange.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,"Dr. Lukas, a renowned scientist, offers to mentor Alex, a young researcher eager to advance in the field. Dr. Lukas's promise is made during an academic conference, where Alex expresses admiration for Dr. Lukas's work.

Dr. Lukas explicitly states that the mentorship is a goodwill gesture, with no expectation of payment or any reciprocal service from Alex. Two weeks later, Dr. Lukas hears that Alex has been criticizing Dr. Lukas's research to others and that Alex only wanted the mentorship in order to advance his career prospects. Dr. Lukas retracts the offer to Alex, citing a busy schedule and other commitments.

Given the nature of the promise, how should the enforceability of Dr. Lukas's offer of mentorship be assessed? Select the best response.","The promise is enforceable due to its inherent value, as mentorship from a reputable scientist can significantly benefit the young researcher's career.",The promise lacks legal enforceability because Alex was not honest when speaking with Dr. Lukas while negotiating the agreement.,"The promise could be enforceable if Dr. Lukas publicly announced it, creating a professional obligation to maintain his academic institution's reputation in the field.",The promise is unenforceable as a contract because Dr. Lukas did not receive anything in return for the mentorship offer.,,D
01-Contract Formation,TP.2: Legal Test for Consideration,"The guest provided consideration by agreeing to extend his stay, which constitutes a legal detriment in exchange for the exclusive tour arrangements.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,"Theo is staying at the Solara Hotel when the hotel's concierge, Maria, approaches him with a special offer for Solara guests. Maria proposes to arrange an exclusive guided tour of the local vineyards, which includes wine tastings and a private lunch with a renowned winemaker. In exchange for this unique experience, Maria asks Theo to extend his stay at the Solara Hotel by two more days. Though extending his stay will require changing his travel itinerary, Theo is intrigued by the offer. However, the Solara is an expensive hotel. Theo asks Maria if he can stay at a local motel that is more affordable and still attend the tour. Maria declines, saying that the offer is good only if he stays at the Solara. Theo reluctantly agrees to extend his reservation at Solara by two additional days.

Did Theo provide consideration in this agreement?","No, because Theo was given no choice when negotiating with Maria","Yes, because extending the stay cost Theo an additional two nights in hotel fees","Yes, because Theo accepted the Solara Hotel's offer through performance once he changed his travel itinerary","No, because the exclusive tour was available to all guests, lacking a unique exchange",,B
01-Contract Formation,TP.2: Legal Test for Consideration,"Eliza and Christina exchange services that have legal value (cat sitting and costume design), which constitutes consideration to support a contract.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,In which of the following situations does a legal contract exist? Assume no other details than what is present in the following options. Select all that apply.,Christina promises to give Eliza an expensive necklace for her upcoming 21st birthday. Eliza accepts.,Eliza promises to pay Christina $50 if she will refrain from stealing food from her roommates. Christina agrees.,Christina pledges to donate $100 to the local animal shelter in honor of Eliza. Eliza accepts.,Eliza promises to take care of Christina's cat if Christina designs Eliza a costume for her play. Christina agrees.,,D
01-Contract Formation,TP.2: Legal Test for Consideration,"Samir and Aisha exchange services that have legal value (tutoring and painting), which constitutes consideration to support a contract.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,In which of the following situations is consideration to support a contract MOST likely to be found?,Aisha promises to give Samir a car if he can pass his driver's license test.,Aisha agrees to tutor Samir in biology if he paints Aisha a portrait for her living room.,Samir promises to pay Aisha $30 if she stops borrowing his stuff without asking.,Samir pledges to donate $50 to Aisha's favorite charity in recognition of her birthday.,,B
01-Contract Formation,TP.2: Legal Test for Consideration,"The principle of 'freedom of contract' allows parties to freely negotiate the terms of their agreement, and the concept of the adequacy of consideration indicates that the courts generally do not evaluate the fairness of the consideration as long as it has some value and there is mutual consent.",2.e - Understand the concept of adequacy of consideration and the principle of 'freedom of contract.',,,"Maria, an avid collector of vintage records, agrees to sell one of her rare albums for $50 to her friend Alejandro. The album is worth significantly more on the free market, but Maria is happy to sell it for a lower price because she knows Alejandro has a passion for music. Alejandro is thrilled, pays Maria the $50, and promises her that he will take good care of the rare album.

Which of the following statements is true?",The contract is likely unenforceable because Alejandro paid a much lower price than the album's actual worth.,The contract is likely enforceable because Maria and Alejandro both agreed to the terms of the sale of the album.,"The contract is likely enforceable, but only if Alejandro agrees to provide additional compensation.",The contract is likely unenforceable because a passion for music and future good care do not constitute legal value.,,B
01-Contract Formation,TP.2: Legal Test for Consideration,"The principle of 'freedom of contract' allows parties to freely negotiate the terms of their agreement, and the concept of the adequacy of consideration indicates that the courts generally do not evaluate the fairness of the consideration as long as it has some value and there is mutual consent.",2.e - Understand the concept of adequacy of consideration and the principle of 'freedom of contract.',,,"Rina, who collects antique books, decides to sell one of her prized first editions to her friend Jordan for $100. Although the book is worth significantly more on the open market, Rina is content with the lower price because she knows Jordan is an avid reader and will appreciate the book's history. Jordan eagerly pays Rina the $100 and assures her that he will cherish the antique book.

Which of the following statements is true?",The contract is likely unenforceable because Jordan paid a much lower price than the book's actual worth.,The contract is likely unenforceable because a love for reading and future appreciation do not constitute legal value.,The contract is likely enforceable because Rina and Jordan both agreed to the terms of the sale of the book.,"The contract is likely enforceable, but only if Jordan agrees to provide additional compensation, because $100 is a nominal amount.",,C
01-Contract Formation,TP.2: Legal Test for Consideration,"The accountant is providing a service (legal value) in exchange for babysitting services (legal value), and both parties have agreed to this exchange, making it a bargained-for exchange.",2.b - Understand what is meant by 'legal value' and 'bargained-for-exchange.',,,"An accountant and a friend meet up over a cup of coffee at their local coffee shop. During their talk, the accountant mentions that she will need to cancel her weekend plans because she and her partner do not have anyone to watch their children. The friend then offers to babysit the accountants children if the accountant prepares the friends tax return. The accountant would regularly charge a client $350 dollars for the same type of tax preparation. The accountant agrees. 

Which element(s) of consideration is present in this agreement?",Legal value only,Bargained-for exchange only,Both legal value and bargained-for exchange,Neither legal value nor bargained-for exchange,,C
01-Contract Formation,TP.2: Legal Test for Consideration,"The agreement is enforceable because an employee would suffer a legal detriment by refraining from working for any competitors for three months, which constitutes something of legal value in a bargained-for exchange.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,"After several employees left to work at a local competitor, the We-R-Sports companys leadership believes it is important to start using non-compete agreements with their employees. We-R-Sports wants to prevent employees from working in the sporting goods design industry for three months if they quit. We-R-Sports promises a bonus to any employee if they sign a non-compete agreement. Most employees sign the non-compete agreement.

Relying solely on what you learned about contracts in JD-Next, is this agreement enforceable based on consideration?","Yes, because the employee has provided legal value by refraining from working in the sporting goods design industry for three months post-employment","No, because refraining from working in the sporting goods design industry for three months post-employment does not benefit We-R-Sports directly","Yes, because We-R-Sports intention to improve workplace retention is sufficient for enforceability","No, because nothing of legal value was exchanged since the employees were the only ones who benefited from the deal",,A
01-Contract Formation,TP.2: Legal Test for Consideration,The friend's agreement to paint the house in exchange for the use of the vacation home constitutes valid consideration because it involves a bargained-for exchange in which both parties incur a legal benefit and detriment.,"2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,"A homeowner offers to let their friend, a commercial painter, use their vacation home for two weeks if the friend agrees to paint the homeowners primary residence within two weeks. The friend agrees and completes painting the residence within the two-week timeframe. 

Is there valid consideration in this agreement?","Yes, because the two friends negotiated a clearly defined agreement to exchange time and labor for the free use of a vacation home","No, because the use of the vacation home is not of legal value since it did not cost the homeowner anything","Yes, because consideration requires equal legal value and the time spent using the vacation home was exactly equal to the time spent painting the house","No, because the agreement is based on a pre-existing friendship and past consideration does not constitute valid consideration",,A
01-Contract Formation,TP.2: Legal Test for Consideration,"A promise to do something that one is already legally obligated to do does not constitute valid consideration for a new promise. In contract law, for a promise to be enforceable, there must be consideration, which involves a mutual exchange of value. If the employee is already contractually obligated to perform certain work, offering a bonus for that same work does not provide new consideration because the employee is not undertaking any new obligation or duty in exchange for the bonus.","2.a - Apply the legal test for consideration, including both elements of legal value and bargained-for-exchange.",,,"Julia is an employee at ABC Corp and has a contract that specifies her duties and salary. Her contract requires her to complete a quarterly report as part of her job responsibilities. Julias manager announces that the company will give her a bonus for completing the quarterly report that is due next month. Julia is pleased and expects the bonus after she submits the report.

Relying solely on what you learned about contracts in JD-Next, is the promise made by Julias employer enforceable?","Yes, because the employer made a promise to Julia in exchange for her completing a task of legal value","No, because the promise is based on a pre-existing duty specified in Julias employment contract","Yes, but only if the employer has sufficient funds to pay the bonus on top of Julias salary","No, because Julia did not attempt to negotiate the amount of the bonus",,B
